capa,campo,etiqueta
tenen_tierra,Prop_2019,Tenencia
tenen_tierra,Shape_Area,Superficie (m²)
valor_cat_corr_com,Val2019,Valor catastral
valor_cat_corr_com,Nom,Nombre
valor_cat_corr_urb,Val2019,Valor catastral
valor_cat_corr_urb,Nom,Nombre
valor_cat_hab,Val2019,Valor catastral
valor_cat_hab,Colonia,Clave de la colonia
valor_cat_hab,Desc_,Nombre de la colonia
valor_cat_industria,Val2019,Valor catastral
valor_cat_industria,Colonia,Clave de la colonia
valor_cat_industria,Desc_,Nombre de la colonia
valor_plza_ctro_com,Val2019,Valor catastral
valor_plza_ctro_com,Colonia,Clave de la colonia
valor_plza_ctro_com,Nom,Nombre
valor_cat_reserva,Val2019,Valor catastral
valor_cat_rustico,Val2019,Valor catastral
ctro_com_ppal,NOMBRE,Nombre
oferta_tur_ppal,nom_estab,Nombre del establecimiento
oferta_tur_ppal,nomb_asent,Colonia o fraccionamiento
corr_turistico,NOMBRE,Nombre del corredor (vialidad)
zona_turistica,COLONIA,Colonia o fraccionamiento
crec_hist_viv,PERIODO,Periodo
agebs_2010,VIV_TOT,Viviendas totales
agebs_2011,VIV_PARDES,Viviendas particulares deshabitadas
agebs_2012,VPH_PISODT,Viviendas habitadas con piso diferente de tierra
agebs_2013,VPH_C_SERV,Viviendas habitadas con servicios básicos
tipo_viv,TIPO,Tipo de vivienda
tipo_viv,SUP_HA,Superficie (ha)
reservas_hab,PLAZO,Plazo
reservas_hab,Hectares,Superficie (ha)
